A16.23.024.001	Микрохирургическое удаление новообразований больших полушарий головного мозга с применением стереотаксического наведения и интраоперационной навигации
A16.23.024.002	Микрохирургическое удаление новообразований больших полушарий головного мозга с применением интраоперационной флюоресцентной микроскопии, лазерной спектроскопии, эндоскопии или эндоскопической ассистенции
A16.23.024.003	Микрохирургическое удаление новообразований больших полушарий головного мозга с применением нейрофизиологического мониторирования
A16.23.032	Удаление новообразования основания черепа
A16.23.032.001	Удаление новообразования основания черепа микрохирургическое
A16.23.032.002	Удаление новообразования основания черепа микрохирургическое с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.003	Удаление новообразования основания черепа микрохирургическое трансоральным доступом с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.004	Удаление новообразования основания черепа микрохирургическое трансназальным доступом с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.005	Удаление новообразования основания черепа трансназальное микрохирургическое с применением эндоскопической техники и пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.032.006	Удаление новообразования основания черепа трансназальное микрохирургическое с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.033	Удаление новообразования спинного мозга
A16.23.033.001	Удаление новообразования спинного мозга микрохирургическое
A16.23.033.002	Микрохирургическое удаление новообразований спинного мозга с применением нейрофизиологического мониторинга
A16.23.033.003	Микрохирургическое удаление новообразований спинного мозга с применением систем, стабилизирующих позвоночник
A16.23.038	Удаление новообразования оболочек головного мозга
A16.23.038.001	Удаление новообразования оболочек головного мозга микрохирургическое
A16.23.038.002	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки ауто- или искусственными имплантами 
A16.23.038.003	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки и свода черепа ауто- или искусственными имплантами
A16.23.038.004	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки и венозных синусов ауто- или искусственными имплантами
A16.23.038.005	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки, свода черепа и венозных синусов ауто- или искусственными имплантами
A16.23.038.006	Удаление новообразования оболочек головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.038.007	Удаление новообразования оболочек головного мозга микрохирургическое с пластикой твердой мозговой оболочки, свода черепа и венозных синусов сложно-составными лоскутами
A16.23.048	Удаление черепно-лицевого новообразования
A16.23.048.001	Удаление черепно-лицевого новообразования микрохирургическое с пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.048.002	Удаление черепно-лицевого новообразования микрохирургическое с применением эндоскопической техники и пластикой дефекта основания черепа ауто- или искусственными имплантами
A16.23.050	Реконструктивные операции при черепно-лицевых новообразованиях
A16.23.061	Удаление новообразования ствола головного мозга
A16.23.061.001	Удаление новообразования ствола головного мозга микрохирургическое
A16.23.061.002	Удаление новообразования ствола головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.062	Удаление новообразования мозжечка и IV желудочка головного мозга
A16.23.062.001	Удаление новообразования мозжечка и IV желудочка с применением микрохирургической техники
A16.23.062.002	Удаление новообразования мозжечка и IV желудочка с применением микрохирургической техники и интраоперационной навигации
A16.23.067	Удаление новообразования больших полушарий головного мозга
A16.23.067.001	Удаление новообразования больших полушарий головного мозга с применением микрохирургической техники
A16.23.067.002	Удаление новообразования больших полушарий головного мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.068	Удаление новообразования головного мозга срединно-глубинной локализации
A16.23.068.001	Удаление новообразования головного мозга срединно-глубинной локализации с применением микрохирургической техники
A16.23.068.002	Удаление новообразования головного мозга срединно-глубинной локализации с применением микрохирургической техники и интраоперационной навигации
A16.23.068.003	Эндоскопическое удаление новообразования головного мозга срединно-глубинной локализации 
A16.23.069	Удаление новообразования желудочков мозга
A16.23.069.001	Удаление новообразования желудочков мозга с применением микрохирургической техники
A16.23.069.002	Удаление новообразования желудочков мозга с применением микрохирургической техники и интраоперационной навигации
A16.23.069.003	Эндоскопическое удаление новообразования желудочков мозга
A16.23.071	Удаление новообразования области шишковидной железы головного мозга
